address,class,data-pid,data-pname,data-price,data-equipment,data-style,data-variant,data-vgid,data-minspeed
13025 3RD AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13026 26TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13026 26TH AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13027 19TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13027 19TH AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13027 30TH AVE NE SEATTLE WA 98125 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
13027 30TH AVE NE SEATTLE WA 98125 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
1303 E  LYNN ST SEATTLE WA 98102 USA,product ,C-HSI-FBR-001~43,Fiber Internet,$50.00,null,null,Up to 500 Mbps - Price For Life,C-HSI-FBR-001-500-Mbps-PFL,500.0
1303 E  LYNN ST SEATTLE WA 98102 USA,product selected,C-HSI-FBR-001~47,Fiber Internet,$75.00,null,null,Up to 940 Mbps - Price For Life,C-HSI-FBR-001-940-Mbps-PFL,940.0
13031 12TH AVE NW SEATTLE WA 98177 USA,product ,C-HSI-FBR-001~7,Fiber Internet,$29.00,null,null,Up to 100 Mbps,C-HSI-FBR-001-100-Mbps,100.0
